tvil_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
1435824,"Гостиница ""Ангара""",300,12,20,4.0,2026-03-01,5500.00
906031,"Гостиница ""Matreshka""",35,3,7,8.57,2026-03-01,5843.00
1265180,"Отель ""Байкал Бизнес Центр""",59,4,9,6.78,2026-03-01,8500.00
1434513,"Парк отель ""Байкал""",9,12,40,133.33,2026-03-01,3500.00
1296851,"Гостиница ""Русь""",56,3,8,5.36,2026-03-01,4500.00
1328740,"Гостиница ""На Звездинской""",30,7,13,23.33,2026-03-01,5000.00
1845315,"Апарт -отель ""BaikalStory """,10,3,16,30.0,2026-03-01,4280.00
1889753,"Мини-отель ""Проспект""",4,3,12,75.0,2026-03-01,3300.00
1782205,"Гостиница ""Березка""",4,1,4,25.0,2026-03-01,6900.00
1009170,"Апарт-отель ""Sokolov Hotel""",30,8,25,26.67,2026-03-01,3000.00
1490581,"Гостиница ""Юбилейная""",23,5,9,21.74,2026-03-01,2500.00
1298063,"Бутик-отель ""География""",12,3,5,25.0,2026-03-01,6800.00
1064267,Мини-отель «Nice People»,6,1,1,16.67,2026-03-01,4700.00
787596,"Гостиница ""Ochagof""",23,2,6,8.7,2026-03-01,5950.00
1000539,"Отель ""Маяк""",75,9,17,12.0,2026-03-01,8510.00
1277758,"Отель ""Гранд Байкал""",64,4,10,6.25,2026-03-01,10500.00
946962,"Отель ""Лотос""",21,1,2,4.76,2026-03-01,3550.00
1032271,"Отель ""Даурия""",15,0,0,0.0,2026-03-01,
1265779,"Отель ""Клубный Квартал""",48,0,0,0.0,2026-03-01,
1287498,"Парк-отель ""Соболинка""",33,4,4,12.12,2026-03-01,9800.00
1276636,"Парк-отель ""Бурдугуз""",69,5,15,7.25,2026-03-01,19500.00
1367731,"Отель ""Яковлевъ""",25,1,2,4.0,2026-03-01,4700.00
1390225,"Гостиница ""Добрый Кот""",10,7,18,70.0,2026-03-01,800.00
1462849,"Гостиница ""7 дорог""",19,1,5,5.26,2026-03-01,12970.00
1491765,"Гостиница ""130Hotel""",12,0,0,0.0,2026-03-01,
1487384,"Парк отель ""Уюга""",58,3,12,5.17,2026-03-01,6000.00
1609403,"Отель ""Иркут""",30,7,13,23.33,2026-03-01,3350.00
1690094,Гостиница Олимпиада,25,4,6,16.0,2026-03-01,1700.00
1892012,"Отель ""Подлеморье""",14,5,11,35.71,2026-03-01,6800.00
1913029,"Отель ""Точка Байкала""",38,0,0,0.0,2026-03-01,
1467982,Гостиница,5,3,5,60.0,2026-03-01,1500.00
1490199,Отель «Альпари»,10,2,6,20.0,2026-03-01,2400.00
1508283,"Гостиница"" Аврора""",7,2,6,28.57,2026-03-01,3700.00
1382100,"Гостиница ""У Истока""",24,2,4,8.33,2026-03-01,3400.00
1314294,"Гостиница ""Ангара-Приоритет""",31,0,0,0.0,2026-03-01,
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",15,7,12,46.67,2026-03-01,4100.00
904225,"Отель ""Михаил Строгов""",21,6,12,28.57,2026-03-01,6500.00
1655828,"Апарт-отель ""Светлый""",6,4,8,66.67,2026-03-01,4500.00
1775519,"Гостиница ""Nord Star Hotel""",12,6,20,50.0,2026-03-01,5500.00
1851647,"Парк-Отель ""Шелест""",8,3,6,37.5,2026-03-01,5000.00
1441288,Отель Армат 4*,40,8,17,20.0,2026-03-01,7400.00
1367592,"Отель ""Атлас""",28,1,2,3.57,2026-03-01,5600.00
1472664,"Гостиница ""Байкал Форест""",76,4,10,5.26,2026-03-01,13400.00
2063101,"Гостиница ""Азия-Европа""",19,0,0,0.0,2026-03-01,
424345,"Гостиничный комплекс ""Лазурный берег""",66,0,0,0.0,2026-03-01,
1450305,Дача БайкалЭко,10,1,2,10.0,2026-03-01,27000.00
895518,"Гостиница ""Космос""",16,6,21,37.5,2026-03-01,3675.00
1296594,"Отель ""Тайга""",44,2,4,4.55,2026-03-01,6500.00
1390108,"Гостиница  ""Воробьевы горы""",11,7,28,63.64,2026-03-01,12000.00
425543,"Отель ""Звезда""",64,6,14,9.38,2026-03-01,8500.00
1097942,Hotel Olhon 2*,28,3,11,10.71,2026-03-01,7500.00
1632075,"Отель"" Арбат""",11,0,0,0.0,2026-03-01,
1785783,"Отель ""Белый Берег""",5,4,16,80.0,2026-03-01,9500.00
1343236,"Бутик-отель ""Аристократ""",12,1,2,8.33,2026-03-01,4900.00
767249,"Отель ""Купеческий Дворъ""",14,3,11,21.43,2026-03-01,12900.00
898794,"Бутик-отель ""Marussia""",14,2,4,14.29,2026-03-01,9030.00
1129766,"Доходный дом ""М.А. Листратовой""",15,0,0,0.0,2026-03-01,
1345611,Гостиница,29,0,0,0.0,2026-03-01,
1335449,Отель Амурский,17,6,12,35.29,2026-03-01,17900.00
1378154,"Гостиница ""Байкал - Северное море""",120,12,30,10.0,2026-03-01,7935.00
1802586,"Гостиница ""BAIKAL VIEW""",99,2,4,2.02,2026-03-01,16950.00
1899852,Отель «Байкал-Аляска»,24,0,0,0.0,2026-03-01,
1979910,"Отель""NUUR HOTEL""",28,2,8,7.14,2026-03-01,17000.00
1993192,"Парк-отель ""Алтан""",21,2,8,9.52,2026-03-01,37500.00
1367536,"Отель ""Санаторий Солнечный""",125,4,8,3.2,2026-03-01,4350.00
2036706,"Отель ""Магистраль""",21,9,25,42.86,2026-03-01,3100.00
2032078,Гостиница «Усадьба Егорова»,10,8,20,80.0,2026-03-01,7000.00
